video_id,lstm_oof_proba,label
-1p3EOhP01Q,0.25439804792404175,0.0
-3H44rWgv6U,0.6078363060951233,1.0
-4obHL-lcIM,0.577500581741333,0.0
-7Kqq1s_jc8,0.5632677674293518,0.0
-9RxoQVhWoY,0.48805150389671326,0.0
-Ha6GktWIIk,0.576511800289154,0.0
-KB3GEOuc6o,0.533376932144165,0.0
-O9rx-mUlRc,0.4504275619983673,0.0
-OwWiqHLl68,0.40435951948165894,0.0
-Pt4U1nsOwE,0.4904380738735199,0.0
-VM0koZbzI8,0.5769449472427368,0.0
-Xk5aMOMYHc,0.5201265811920166,0.0
-ZcQwt9ulaw,0.5025043487548828,1.0
-fDin9O4sjY,0.3510296046733856,0.0
-ihsoLu3tEQ,0.5618665218353271,0.0
-lONa6KUBf4,0.5066859126091003,0.0
-ny7iccX7Y8,0.48543646931648254,0.0
-xOsqmfrFWo,0.4883057773113251,0.0
-ybAXSqBYYI,0.5439032912254333,0.0
02XflykRIu8,0.2698341906070709,0.0
04me1Y64hj0,0.5129017233848572,0.0
06nT3AOrq9Y,0.34208187460899353,0.0
07A6cjrNdc0,0.4956408739089966,0.0
0ANWAlvPTXw,0.5766844749450684,0.0
0LB1j3yyh8k,0.4283737242221832,1.0
0NdeFvU1WJw,0.12242242693901062,0.0
0RcMcxnB3EM,0.5536155700683594,0.0
0RoH3tk8gYw,0.5432881116867065,0.0
0TgRQcg-_cI,0.5788223743438721,0.0
0VEdu0dLUgE,0.5852336287498474,1.0
0WX4BwI5DZU,0.5562618970870972,0.0
0bRbs6xetv0,0.72855144739151,1.0
0iJzIglghEE,0.5913310050964355,1.0
0nanDmZUc74,0.4594443738460541,0.0
0od8ZDF9Ntg,0.06456121802330017,0.0
0tQ7DbLJY1g,0.5876628756523132,0.0
0ty5wKGzxLQ,0.4461992383003235,0.0
0vSZ6JIAl2E,0.06153993681073189,0.0
0zgdED9TL6g,0.40072473883628845,0.0
10nA09n9gHI,0.49114054441452026,0.0
14h19duHe-Y,0.5040650367736816,0.0
17djsS20gUQ,0.06826256960630417,0.0
1F5viyQTfa8,0.5493064522743225,0.0
1HUzAwzlbUM,0.43343430757522583,1.0
1IY5rDMTg3o,0.20601800084114075,0.0
1LJCJWEU0KQ,0.30880823731422424,0.0
1XmWe1b8JMQ,0.7027961015701294,0.0
1ZdQL8WeU70,0.5448275208473206,1.0
1bfhulw01IU,0.49936291575431824,1.0
1cEbTC15Pzc,0.4889659583568573,0.0
1cJPE1EcUfk,0.06496671587228775,0.0
1ru-fmhDnEc,0.5124828815460205,0.0
1tStsDJnCNw,0.581379771232605,1.0
1tckviz4ags,0.1417183130979538,0.0
1uQK5COBn1c,0.6012333035469055,0.0
1yqK0Zwx08w,0.5769211649894714,0.0
2DdIt9716oo,0.603993833065033,0.0
2GGMcasjWO4,0.508489191532135,0.0
2VsWgu3K9UE,0.501569926738739,0.0
2XOEpZjrx1k,0.49040481448173523,0.0
