編號,章節,頁面類型,標題,主要內容,視覺/圖表元素,排版細節,講者口述重點,預計時間
1,開場,封面,YouTube 影片流量預測與留言互動特徵分析,"資料探勘導論期末專題提案 • 組員：[姓名] • 指導老師：[老師] • 2026-04-25","背景：淡色 YouTube 紅或深藍漸層 • 中央放一個簡單的播放鍵 icon","主標題置中、44pt 粗體 • 副標題 24pt • 底部小字資訊 16pt • 留大量留白","開門見山：『各位老師、同學好，我們這組要報告的是 YouTube 影片流量預測與留言互動特徵分析。』",20秒
2,開場,大綱,本次報告大綱,"01 研究動機與目的 • 02 研究資料 • 03 分析方式 • 04 預計嘗試的方法 • 05 方法特色與創新性 • 06 模型效能評估方式 • 07 預期成果","左側放章節編號（大字 36pt）右側放章節名稱 • 用一條垂直細線分隔","左對齊、行距 1.5 • 編號用主色（深藍）、文字用黑色","『我們會依這 7 個段落報告，最後留 5 分鐘 Q&A。』給觀眾地圖（原則 3）",30秒
3,01 動機與目的,章節分隔頁,01 研究動機與目的,01 / 研究動機與目的,"全頁深色背景 • 中央大字章節編號 + 章節名稱","章節編號 120pt、章節名稱 40pt • 全部居中","快速切換：『首先進入第一章，研究動機。』",5秒
4,01 動機與目的,內容,為什麼做這個題目?,"YouTube 是創作者與觀眾交會的最大舞台 • 影片『早期表現』直接決定能不能被推薦給更多人 • 但目前缺乏簡單且開放的工具來分析影片成長行為","左半邊放一張 YouTube 觀看數成長曲線示意圖（兩條：爆紅 vs 平淡） • 右半邊放三點重點","圖文左右分割（5:5）• 內文用灰色細字、關鍵詞用紅色強調","用情境法開場：『身為創作者，每次發片最焦慮的就是頭幾小時的觀看數曲線。我們想知道，這條曲線真的能預測未來嗎？』",1分20秒
5,01 動機與目的,內容,核心問題與研究目標,"核心問題：能否用『影片公開資料 + 早期流量 + 留言互動』預測影片未來觀看數成長？ • 目標 1：建立可重複的爬蟲流程 • 目標 2：設計合理的特徵 • 目標 3：比較表格 ML 與時序 DL 的效能 • 目標 4：找出哪類特徵最有貢獻","核心問題用引號框起來放在最上方 • 下方四個目標用編號 icon 列出","核心問題用粗體 24pt 居中、深藍色背景白字框起來 • 目標用 18pt 列點","『把抽象的好奇心變成可驗證的研究問題：能不能預測？哪些特徵有用？』",40秒
6,02 研究資料,章節分隔頁,02 研究資料,02 / 研究資料,"與 CH01 同樣設計、僅換編號與名稱","維持一致性","『接下來看資料怎麼來。』",5秒
7,02 研究資料,內容,資料來源與三大類別,"自己寫 Python 爬蟲、不用 API key、不建資料庫 • 三類資料：靜態資訊 / 時序流量 / 留言 • 儲存格式：JSON / CSV / JSONL","中央三個圓圈（icon: 影片、時鐘、對話框）• 每個圓圈下方寫類別與儲存格式","三欄等寬、icon 60pt、文字置中 • 用主色三種深淺區分","『所有資料都自己爬，所以同學想複現完全做得到。』強調資料的可控性",50秒
8,02 研究資料,內容,三類資料欄位一覽,"靜態：video_id / title / channel_id / publish_time / duration_seconds / category / tag_count / is_shorts • 時序：crawl_time / time_since_publish / view_count / like_count / comment_count / subscriber_count • 留言：comment_id / comment_text / comment_like_count","三欄表格、表頭用三種顏色區分","表格佔頁面 80%、字級 16pt • 表頭粗體、表格線淺灰","『每個欄位後續都會用到，沒用的不留——避免維度災難。』呼應研究嚴謹性",40秒
9,02 研究資料,內容亮點,亮點：自動判定 Shorts vs 長影片,"問題：YouTube API 沒有直接給標記 • 方法：對 youtube.com/shorts/{id} 發 HTTP 請求 • 303 See Other → 長影片 • 200 OK → Shorts • 為什麼重要：兩者演算法行為差異大，混在一起會引入雜訊","左半放流程圖（request → 303/200 → 分流） • 右半條列三點","流程圖用箭頭與綠/紅顏色區分結果 • 強調 303/200 用大字 36pt","『這是我們特別想 highlight 的小技巧——不需 API key、用一行 HTTP 請求就能分流，後面建模才不會被雜訊污染。』",55秒
10,03 分析方式,章節分隔頁,03 分析方式,03 / 分析方式,同前,維持一致,『再來是分析流程。』,5秒
11,03 分析方式,內容,分析流程總覽,"五階段：① 資料蒐集 → ② 資料清理 → ③ 特徵工程 → ④ 模型訓練 → ⑤ 模型解釋","橫向流程圖、五個方框 + 四個箭頭、每個方框下方一句話補充","流程圖佔頁面寬度 90%、置中 • 方框用主色填滿、白字","『把整個 pipeline 一眼看清楚，後面幾頁分別深入。』",30秒
12,03 分析方式,內容,表格特徵設計（共 12 個）,"影片基本（6）：duration / category / publish_hour / is_shorts / title_length / tag_count • 頻道（1）：log_subscriber_count • 早期流量（3）：view_growth_rate_1h / engagement_rate_early / views_per_minute_early • 留言（2）：comment_sentiment_score / top_comment_like_ratio","四欄分組表格、每欄用不同顏色 icon","表格佔頁面 70% • 每組用淺色背景區分 • 字級 14pt","『刻意收斂到 12 個——每個都有清楚的假設，避免堆料。』強調少而精原則",1分10秒
